Ticker,Company,Sector,Industry,Country,Volume,Price,stak score
STRA,"Strategic Education, Inc.",Services,Education & Training Services,USA,165600,179.63,-0.402
STRL,"Sterling Construction Company, Inc.",Industrial Goods,Heavy Construction,USA,161550,13.59,0.278
STRM,"Streamline Health Solutions, Inc.",Technology,Healthcare Information Services,USA,97896,1.79,0.24
STRO,"Sutro Biopharma, Inc.",Healthcare,Biotechnology,USA,27911,11.57,-0.636
STRS,Stratus Properties Inc.,Financial,Real Estate Development,USA,4019,27.05,0.105
STRT,Strattec Security Corporation,Consumer Goods,Auto Parts,USA,4126,25.9,0.17300000000000001
STT,State Street Corporation,Financial,Asset Management,USA,3930863,55.41,-0.8340000000000001
STWD,"Starwood Property Trust, Inc.",Financial,REIT - Diversified,USA,1230324,23.09,-0.32799999999999996
STX,Seagate Technology plc,Technology,Data Storage Devices,Ireland,2164522,46.19,-0.4
STXB,"Spirit of Texas Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,13917,22.48,-0.28600000000000003
STZ,"Constellation Brands, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,1024380,185.74,0.6709999999999999
STZ-B,"Constellation Brands, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,144,184.61,0.7020000000000001
SU,Suncor Energy Inc.,Basic Materials,Independent Oil & Gas,Canada,2796435,31.82,0.248
SUB,iShares Short-Term National Muni Bond ETF,Financial,Exchange Traded Fund,USA,86314,106.49,0.136
SUI,"Sun Communities, Inc.",Financial,REIT - Residential,USA,617946,129.91,-0.12300000000000001
SUM,"Summit Materials, Inc.",Industrial Goods,General Building Materials,USA,1760038,17.91,-0.32899999999999996
SUMR,"Summer Infant, Inc.",Consumer Goods,Personal Products,USA,26327,0.5,-0.025
SUN,Sunoco LP,Basic Materials,Oil & Gas Refining & Marketing,USA,157687,30.81,-0.377
SUNS,Solar Senior Capital Ltd.,Financial,Asset Management,USA,62875,16.06,0.474
SUNW,"Sunworks, Inc.",Technology,Semiconductor - Specialized,USA,397286,0.7,-0.20800000000000002
SUP,"Superior Industries International, Inc.",Consumer Goods,Auto Parts,USA,525473,3.45,-0.504
SUPN,"Supernus Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,519967,31.08,-0.6629999999999999
SUPV,Grupo Supervielle S.A.,Financial,Foreign Regional Banks,Argentina,1066325,7.44,-0.47600000000000003
SURF,"Surface Oncology, Inc.",Healthcare,Biotechnology,USA,25573,3.21,0.677
SUSA,iShares MSCI USA ESG Select ETF,Financial,Exchange Traded Fund,USA,28993,122.2,0.523
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,Financial,Exchange Traded Fund,USA,20557,25.32,-0.33899999999999997
SUSC,iShares ESG USD Corporate Bond ETF,Financial,Exchange Traded Fund,USA,6811,25.69,0.546
SUSL,iShares ESG MSCI USA Leaders ETF,Financial,Exchange Traded Fund,USA,1383,50.75,-0.375
SUZ,Suzano S.A.,Consumer Goods,Paper & Paper Products,Brazil,40283,16.98,0.156
SVBI,"Severn Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,4269,8.66,0.555
SVM,Silvercorp Metals Inc.,Basic Materials,Silver,Canada,669108,2.49,-0.7490000000000001
SVMK,SVMK Inc.,Technology,Application Software,USA,2396716,17.06,-0.001
SVRA,Savara Inc.,Healthcare,Biotechnology,USA,1259833,2.62,0.057
SVT,"Servotronics, Inc.",Industrial Goods,Industrial Electrical Equipment,USA,534,10.21,-0.09
SVVC,"Firsthand Technology Value Fund, Inc.",Financial,Asset Management,USA,17931,9.5,-0.22899999999999998
SVXY,ProShares Short VIX Short-Term Futures ETF,Financial,Exchange Traded Fund,USA,2778482,53.84,0.818
SWAN,Amplify BlackSwan Growth & Treasury Core ETF,Financial,Exchange Traded Fund,USA,24221,27.73,-0.524
SWAV,"ShockWave Medical, Inc.",Healthcare,Medical Appliances & Equipment,USA,316909,59.9,-0.9329999999999999
SWCH,"Switch, Inc.",Technology,Information Technology Services,USA,836090,13.32,0.054000000000000006
SWI,SolarWinds Corporation,Technology,Application Software,USA,1354933,18.87,0.077
SWIR,"Sierra Wireless, Inc.",Technology,Communication Equipment,Canada,144360,11.99,-0.311
SWK,"Stanley Black & Decker, Inc.",Industrial Goods,Machine Tools & Accessories,USA,742442,146.36,0.22
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductor - Integrated Circuits,USA,1687441,75.84,0.027000000000000003
SWM,"Schweitzer-Mauduit International, Inc.",Consumer Goods,Paper & Paper Products,USA,193255,33.74,0.2
SWN,Southwestern Energy Company,Basic Materials,Independent Oil & Gas,USA,27923528,3.18,0.452
SWP,"Stanley Black & Decker, Inc. CORP UNIT 2017",Industrial Goods,Machine Tools & Accessories,USA,3329,103.29,-0.162
SWX,"Southwest Gas Holdings, Inc.",Utilities,Gas Utilities,USA,154963,90.69,-0.256
SWZ,The Swiss Helvetia Fund Inc.,Financial,Closed-End Fund - Foreign,USA,17491,7.9,0.135
SXC,"SunCoke Energy, Inc.",Basic Materials,Nonmetallic Mineral Mining,USA,558277,8.07,-0.34
SXCP,"SunCoke Energy Partners, L.P.",Basic Materials,Nonmetallic Mineral Mining,USA,122542,11.5,-0.203
SXI,Standex International Corporation,Industrial Goods,Industrial Equipment & Components,USA,59081,69.31,0.8370000000000001
SXT,Sensient Technologies Corporation,Basic Materials,Specialty Chemicals,USA,248827,74.95,0.069
SXTC,"China SXT Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,China,41505,3.51,-0.006999999999999999
SY,So-Young International Inc.,Technology,Healthcare Information Services,China,341135,13.86,-0.122
SYBT,"Stock Yards Bancorp, Inc.",Financial,Regional - Southeast Banks,USA,38058,34.44,0.737
SYBX,"Synlogic, Inc.",Healthcare,Biotechnology,USA,84846,8.99,0.303
SYE,SPDR MFS Systematic Core Equity ETF,Financial,Exchange Traded Fund,USA,1527,82.12,0.255
SYF,Synchrony Financial,Financial,Credit Services,USA,3898310,34.24,-0.43200000000000005
SYG,SPDR MFS Systematic Growth Equity ETF,Financial,Exchange Traded Fund,USA,567,85.02,0.51
SYK,Stryker Corporation,Healthcare,Medical Appliances & Equipment,USA,1102309,203.28,0.038
SYKE,"Sykes Enterprises, Incorporated",Technology,Information Technology Services,USA,123091,27.23,-0.723
SYLD,Cambria Shareholder Yield ETF,Financial,Exchange Traded Fund,USA,4078,36.01,0.716
SYMC,Symantec Corporation,Technology,Security Software & Services,USA,8204318,20.56,0.138
SYN,"Synthetic Biologics, Inc.",Healthcare,Biotechnology,USA,141131,0.57,-0.011000000000000001
SYNA,Synaptics Incorporated,Technology,Application Software,USA,356224,28.68,-0.042
SYNC,"Synacor, Inc.",Technology,Internet Information Providers,USA,78242,1.64,-0.23600000000000002
SYNH,"Syneos Health, Inc.",Healthcare,Medical Laboratories & Research,USA,431142,48.83,0.10800000000000001
SYNL,Synalloy Corporation,Basic Materials,Steel & Iron,USA,15852,15.36,-0.355
SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,1383,0.86,-0.405
SYRS,"Syros Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,46055,7.11,0.6890000000000001
SYV,SPDR MFS Systematic Value Equity ETF,Financial,Exchange Traded Fund,USA,5772,67.05,0.637
SYX,Systemax Inc.,Technology,Technical & System Software,USA,81793,21.99,-0.046
SYY,Sysco Corporation,Services,Food Wholesale,USA,2277498,70.78,-0.19
SZC,The Cushing Renaissance Fund,Financial,Closed-End Fund - Equity,USA,96172,13.86,0.068
SZK,ProShares UltraShort Consumer Goods,Financial,Exchange Traded Fund,USA,2,13.19,0.142
SZNE,Pacer CFRA-Stovall Equal Weight Seasonal Rotation ETF,Financial,Exchange Traded Fund,USA,124666,28.92,0.05
T,AT&T Inc.,Technology,Telecom Services - Domestic,USA,26749983,32.54,-0.297
TA,TravelCenters of America LLC,Services,"Specialty Retail, Other",USA,126929,3.51,-0.107
TAC,TransAlta Corporation,Utilities,Diversified Utilities,Canada,178758,6.48,-0.024
TACO,"Del Taco Restaurants, Inc.",Services,Restaurants,USA,589089,11.91,-0.079
TACT,TransAct Technologies Incorporated,Technology,Computer Peripherals,USA,26522,11.77,0.912
